# Undirected graph (each pair of nodes is saved twice):as19990308.txt
# Autonomous systems (from the BGP logs) - 03 08 1999 
# Nodes:4751	Edges: 9346
# FromNodeId	ToNodeId
1	701
1	1800
1	2914
1	1239
1	1740
1	1673
1	286
1	293
1	7018
1	3561
1	568
1	174
1	2685
1	5006
1	6461
1	6301
1	4200
1	11015
1	5650
1	71
1	33
1	714
1	3
1	3360
1	6172
1	7756
1	5646
1	7725
1	2548
1	5727
1	3847
1	6113
1	4565
1	6467
1	5696
1	32
1	6453
1	8959
1	7176
1	3549
1	1833
1	8918
1	5413
1	3356
1	2856
1	4000
1	34
1	199
1	5691
1	3967
1	6
1	7170
1	2828
1	48
1	2637
1	297
1	11499
1	4766
1	10725
1	600
1	10437
1	11039
1	3450
1	3932
1	3479
1	6922
1	5723
1	3527
1	668
1	3749
1	10561
1	4511
1	89
1	4648
1	3404
1	70
1	4911
1	6059
1	11784
1	557
1	6597
1	10326
1	7430
1	8938
1	140
1	3951
1	1236
1	11417
1	5661
1	2041
1	2551
1	5693
1	10506
1	6261
1	11399
1	7355
1	3452
1	7386
1	763
1	625
1	5737
1	1746
1	4010
1	3491
1	1830
1	3614
1	7862
1	109
1	10615
1	2933
1	5000
1	4183
1	5462
1	11552
1	2056
1	11302
1	4550
1	4006
1	7743
1	11188
1	2024
1	2714
1	6221
1	7418
1	7754
1	8048
1	2581
1	7152
1	6949
1	4583
1	7374
1	6607
1	7047
1	10442
1	4355
1	6652
1	11860
1	7006
1	5684
1	6227
1	7800
1	2897
1	6553
1	8076
1	3147
1	4454
1	281
1	3557
1	90
1	2511
1	10406
1	7068
1	10553
1	3578
1	157
1	10750
1	7128
1	8090
1	6245
1	8091
1	4544
1	7203
1	6536
1	3564
1	10782
1	11680
1	10946
1	201
1	10332
1	3495
1	6633
1	11721
1	10487
1	6989
1	5390
1	3257
1	6716
1	6201
1	8137
1	8009
1	7140
1	3914
1	11347
1	10342
1	5662
1	6352
1	12003
1	10809
1	11207
1	3796
1	10317
1	3720
1	10935
1	7392
1	4278
1	6433
1	6150
1	7284
1	10911
1	3703
1	10536
1	6932
1	6566
1	6555
1	7346
1	11485
1	5779
1	10934
1	11513
1	6525
1	11573
1	10361
1	8118
1	8002
1	7269
1	11928
1	10302
1	10266
1	6469
1	7384
1	10663
1	7823
1	10677
1	5790
1	7323
1	7062
1	8078
1	11661
1	7219
1	11285
1	11710
1	7426
1	4574
1	11524
1	10657
1	7923
1	10616
1	11329
1	10913
1	10355
1	4247
1	11291
1	4957
1	11354
1	9320
3	1
3	145
3	293
4	11422
6	1
6	3215
7	786
7	3561
8	114
8	4557
9	5050
12	145
13	668
13	7170
13	213
16	293
17	701
17	11537
18	3354
18	145
22	668
22	7170
22	5855
22	5303
22	5881
24	7847
24	145
24	297
25	1852
25	11423
25	293
25	721
26	145
27	2548
27	10886
29	145
31	226
31	11422
32	1
32	11423
33	701
33	2914
33	1
33	2497
34	1
34	3932
35	5691
38	1225
38	145
38	5646
38	1224
38	65005
41	297
43	293
43	1785
45	293
46	701
46	145
47	11422
48	48
48	1
48	7170
48	5058
49	701
50	3450
50	293
52	3561
52	11422
52	6251
52	1852
55	10466
68	293
70	1
70	145
71	701
71	1
71	7018
71	4637
71	4058
71	4657
71	3758
71	71
71	2915
72	5551
72	3305
73	3942
73	73
73	2914
73	101
74	2493
77	2548
77	5723
80	701
80	2914
81	701
81	10490
81	81
81	1239
81	6250
81	11296
83	7170
84	7170
87	701
87	10680
88	1740
88	2914
88	145
89	89
89	3739
89	7170
89	1
90	701
90	1
93	7806
93	1239
93	2914
93	3561
93	7773
93	2495
93	10363
93	2698
93	93
93	7393
93	11610
93	8159
93	4306
93	11887
93	11462
93	10729
93	10714
99	1760
101	73
101	145
101	101
101	11537
103	5646
103	145
103	293
103	5099
103	7326
104	194
104	145
104	3909
104	4191
104	2648
104	5682
109	1
109	1136
109	1221
109	2497
109	2548
109	109
111	701
111	145
114	8
114	3561
114	2914
114	293
114	302
114	7276
114	5707
114	6481
114	7362
114	11773
114	278
114	4557
114	7201
114	11474
114	8022
125	3847
127	226
127	127
127	297
127	11422
131	1852
131	3561
132	668
132	7170
137	5441
137	8933
137	9010
137	137
137	3426
137	5455
137	5444
137	5442
137	5451
137	5445
137	5448
137	5443
137	5446
140	701
140	1
144	7018
145	1742
145	293
145	3
145	237
145	11423
145	5050
145	46
145	10886
145	11422
145	11537
145	29
145	4557
145	7170
145	10490
145	1201
145	18
145	26
145	10466
145	101
145	6509
145	217
145	297
145	3128
145	210
145	1852
145	88
145	5739
145	194
145	1249
145	6192
145	3388
145	160
145	104
145	225
145	3112
145	11078
145	11039
145	1312
145	38
145	4201
145	1706
145	111
145	5723
145	6200
145	6453
145	3676
145	668
145	693
145	10680
145	7050
145	103
145	10755
145	2698
145	70
145	7660
145	683
145	3152
145	7377
145	195
145	7610
145	7539
145	7081
145	1224
145	24
145	12
145	1909
145	3561
145	10579
149	7170
157	1
157	1239
159	600
159	3112
160	5646
160	145
160	293
167	3561
172	721
174	1673
174	1
174	293
174	2493
174	2914
174	1740
174	7018
174	3561
174	1239
174	701
174	286
174	298
174	6654
174	10722
174	2554
174	2521
174	745
174	3976
174	6437
174	1290
174	8013
174	8218
174	11866
174	8355
174	6334
174	10499
174	11494
174	1932
174	6404
174	7884
174	10455
174	6942
174	3957
174	6195
174	10515
174	3703
174	11635
174	10962
174	6199
174	11122
174	4472
174	11385
174	11608
174	11055
174	10254
174	11822
174	10690
174	10337
174	10584
174	11376
174	11238
175	668
175	2966
188	293
194	3561
194	145
194	3909
194	104
195	1227
195	1740
195	145
195	293
195	2641
195	1909
196	7018
196	3936
199	1
201	1
201	7474
204	5050
209	1740
209	286
209	209
209	293
209	210
209	3909
209	11317
209	5645
209	8051
209	6640
209	7349
209	11485
209	7424
209	6992
209	8159
209	7839
209	7024
209	11913
209	11292
209	11924
209	10920
209	11320
209	10694
209	3786
210	209
210	145
210	6510
213	13
217	5006
217	145
217	293
222	721
224	2603
224	8368
225	7066
225	145
225	225
225	1239
226	5676
226	226
226	3847
226	1740
226	293
226	127
226	31
226	7397
226	4554
226	4555
226	2150
226	6508
226	5655
226	10596
226	5726
229	2497
229	237
234	2914
234	1225
237	7016
237	1225
237	3561
237	5696
237	145
237	237
237	293
237	238
237	229
237	10797
238	1239
238	237
239	549
252	272
252	7170
255	721
262	2914
267	1225
268	6350
270	297
270	271
271	271
271	7189
271	577
271	6509
271	270
271	1691
272	721
272	252
278	6503
278	3561
278	114
278	11087
278	278
278	3968
278	8140
281	1
284	1682
284	701
286	701
286	3333
286	1
286	568
286	1673
286	4200
286	6461
286	2548
286	1239
286	3561
286	5696
286	1740
286	3915
286	2685
286	3491
286	6172
286	209
286	2914
286	3847
286	6113
286	4565
286	174
286	517
286	1755
286	702
286	293
286	2497
286	1901
286	3549
286	3300
286	3320
286	5400
286	4000
286	3967
286	7170
286	2828
286	1800
286	3951
286	297
286	1836
286	668
286	1899
286	3356
286	790
286	2041
286	2551
286	3407
286	1891
286	1746
286	6660
286	8831
286	286
286	6066
286	2116
286	4540
286	4006
286	2110
286	4436
286	4544
286	1889
286	3220
286	3327
286	2819
286	5474
286	1897
286	2134
286	5606
286	6879
286	8771
286	3914
286	6992
286	6205
288	297
288	1890
291	293
292	293
293	701
293	1
293	1673
293	568
293	174
293	2685
293	7018
293	145
293	6461
293	3561
293	4200
293	2914
293	1239
293	2548
293	3915
293	3
293	6172
293	7922
293	1740
293	209
293	6453
293	6113
293	5006
293	4565
293	6660
293	11423
293	11422
293	1275
293	286
293	1800
293	3549
293	5683
293	4000
293	3356
293	5409
293	3320
293	2917
293	16
293	1225
293	2497
293	11537
293	3847
293	45
293	8175
293	114
293	297
293	1852
293	7170
293	292
293	291
293	7066
293	3354
293	6251
293	226
293	6509
293	217
293	5646
293	513
293	600
293	68
293	50
293	3932
293	3506
293	6200
293	668
293	6406
293	693
293	103
293	1829
293	237
293	5696
293	3428
293	7660
293	2505
293	3426
293	43
293	683
293	2828
293	3951
293	3152
293	377
293	2041
293	195
293	3429
293	10702
293	2551
293	3671
293	6402
293	6261
293	4969
293	8218
293	188
293	6259
293	7194
293	1746
293	6079
293	3967
293	6081
293	3491
293	4183
293	6395
293	2640
293	4540
293	5462
293	3789
293	4058
293	3563
293	4550
293	4006
293	6716
293	6939
293	7374
293	4436
293	3407
293	160
293	3431
293	25
293	3380
293	4136
293	11926
293	3720
293	11678
293	4544
293	6427
293	5496
293	3257
293	5418
293	3424
293	6365
293	6345
293	7610
293	6405
293	7960
295	6350
297	668
297	701
297	293
297	41
297	1800
297	2914
297	145
297	1239
297	1740
297	1673
297	286
297	7018
297	3561
297	1
297	2497
297	127
297	1843
297	270
297	1842
297	288
297	1263
297	1254
297	1749
297	24
297	6629
298	7170
298	298
298	174
299	1852
299	11422
302	114
302	4557
374	7170
376	3493
376	6509
377	1334
377	377
377	293
378	8584
380	721
385	400
390	721
395	721
398	721
400	385
400	721
412	721
422	721
424	721
467	721
497	721
511	721
513	6679
513	3561
513	1836
513	6719
513	293
513	513
513	8918
513	789
513	3350
517	286
517	3257
517	6710
517	8687
517	8549
517	8384
517	9132
517	8881
523	7170
523	721
544	5515
549	239
549	577
549	6509
549	802
549	808
549	6241
549	6407
555	3561
557	701
557	557
557	1
559	6679
559	701
559	6719
565	1741
568	721
568	1239
568	2914
568	1740
568	286
568	293
568	7018
568	1
568	3561
568	1913
568	724
568	1733
568	1673
568	5927
577	852
577	3561
577	6453
577	854
577	549
577	271
577	803
577	1239
577	684
577	11085
577	855
577	2652
577	800
577	7122
577	8187
577	6183
577	7734
577	7788
577	11453
577	10264
577	831
577	11489
577	5690
577	701
577	11666
592	7170
600	159
600	701
600	600
600	3561
600	1
600	293
600	11050
600	6640
600	10921
600	11685
600	3112
600	7888
600	11224
600	11036
600	10796
611	855
611	856
612	1740
613	6347
613	613
613	1239
625	1
625	721
637	721
638	721
668	7170
668	1673
668	297
668	3561
668	22
668	1800
668	2914
668	1239
668	13
668	132
668	145
668	286
668	293
668	7018
668	1
668	175
668	1740
668	5872
668	8174
676	3597
679	2686
679	1853
681	4648
683	293
683	1225
683	145
683	7660
684	577
685	3942
685	2914
685	2702
685	4134
686	745
687	7170
690	1673
693	5646
693	145
693	293
700	1740
701	80
701	1755
701	1225
701	2914
701	1740
701	1673
701	702
701	286
701	1239
701	293
701	7018
701	1
701	3561
701	2497
701	5006
701	7260
701	701
701	6461
701	2548
701	6301
701	8047
701	7314
701	11959
701	8143
701	8074
701	4592
701	11729
701	11902
701	11847
701	4200
701	6347
701	2685
701	6507
701	5650
701	6410
701	3915
701	71
701	33
701	1280
701	7843
701	10721
701	814
701	3493
701	816
701	10838
701	7016
701	10513
701	11690
701	6453
701	5727
701	11232
701	6113
701	4231
701	11028
701	4565
701	7046
701	6660
701	3593
701	174
701	10902
701	7332
701	4230
701	2647
701	5594
701	3300
701	3549
701	1833
701	8918
701	10910
701	6889
701	5683
701	6762
701	8210
701	11213
701	2917
701	5588
701	8750
701	10637
701	703
701	11702
701	12010
701	11574
701	11826
701	11595
701	10434
701	8136
701	11764
701	11664
701	11403
701	10553
701	46
701	9010
701	3847
701	17
701	2711
701	8175
701	3967
701	3739
701	297
701	2828
701	4637
701	5646
701	81
701	1744
701	5671
701	600
701	10437
701	3951
701	3450
701	6223
701	6360
701	3932
701	559
701	7474
701	3479
701	3701
701	111
701	1760
701	6381
701	7281
701	49
701	2150
701	11030
701	7515
701	10561
701	6388
701	8063
701	7925
701	87
701	6385
701	3850
701	2901
701	4511
701	1982
701	6071
701	7893
701	4911
701	7792
701	11784
701	557
701	8043
701	6597
701	11094
701	7430
701	140
701	6198
701	8070
701	6993
701	6983
701	6091
701	2648
701	6380
701	10754
701	6503
701	4694
701	4722
701	2516
701	5669
701	6467
701	2551
701	10680
701	3976
701	5106
701	2712
701	11355
701	6228
701	10870
701	6115
701	6437
701	5693
701	6431
701	6386
701	6913
701	2905
701	10564
701	3491
701	7355
701	10831
701	1757
701	2918
701	3563
701	2379
701	3803
701	5737
701	6197
701	7029
701	2015
701	1746
701	10368
701	6226
701	6082
701	3403
701	1830
701	8218
701	8062
701	5056
701	5713
701	3614
701	4587
701	7862
701	5049
701	2697
701	2003
701	11011
701	8517
701	7301
701	7238
701	6066
701	4500
701	6249
701	10933
701	4183
701	1800
701	10857
701	10424
701	7795
701	6130
701	6419
701	4540
701	6499
701	4569
701	11866
701	3820
701	3384
701	2933
701	5763
701	4195
701	10655
701	5000
701	6912
701	8105
701	6664
701	10440
701	5778
701	4151
701	2041
701	5771
701	6334
701	11649
701	5089
701	2056
701	10593
701	3751
701	8079
701	1236
701	8168
701	3799
701	7762
701	11286
701	8060
701	7065
701	10622
701	6619
701	6181
701	10499
701	11494
701	10828
701	3816
701	10853
701	6554
701	11829
701	4006
701	10530
701	10966
701	10792
701	11892
701	10833
701	8188
701	7115
701	6948
701	5939
701	2749
701	10960
701	7876
701	11027
701	8048
701	8006
701	7152
701	10457
701	3378
701	10615
701	6582
701	6949
701	8156
701	6319
701	3462
701	5097
701	4583
701	3591
701	6404
701	7178
701	6227
701	6371
701	6383
701	7633
701	6225
701	6254
701	7047
701	2941
701	10275
701	10442
701	4436
701	10683
701	10832
701	4355
701	6652
701	11778
701	3625
701	6315
701	7256
701	11176
701	5684
701	3407
701	7183
701	11520
701	7894
701	6128
701	6553
701	10975
701	6482
701	4926
701	10409
701	4515
701	7741
701	6372
701	3502
701	6384
701	7317
701	7617
701	4356
701	2019
701	6248
701	5668
701	6283
701	10363
701	6062
701	11111
701	6335
701	6382
701	7892
701	6387
701	4310
701	11790
701	10995
701	3569
701	6745
701	10794
701	3557
701	90
701	7345
701	10455
701	3900
701	4277
701	10846
701	3840
701	705
701	10686
701	4278
701	5754
701	8000
701	5003
701	11743
701	2927
701	4979
701	4136
701	2276
701	11926
701	5705
701	8015
701	5714
701	8097
701	3720
701	6165
701	4513
701	11640
701	6394
701	10882
701	2899
701	4364
701	5798
701	6693
701	5486
701	9071
701	7837
701	3845
701	6530
701	3768
701	6969
701	6435
701	3286
701	2140
701	6303
701	6095
701	6423
701	10745
701	11178
701	8090
701	6589
701	6245
701	3855
701	4544
701	11619
701	11042
701	11533
701	4475
701	7203
701	7425
701	4996
701	7766
701	7748
701	7148
701	11350
701	10657
701	3495
701	6633
701	5002
701	8126
701	6317
701	10907
701	11850
701	5703
701	4372
701	11012
701	3113
701	10616
701	10928
701	6195
701	4309
701	7078
701	10487
701	11634
701	7819
701	5580
701	6790
701	3257
701	5410
701	5552
701	5496
701	8697
701	4495
701	8751
701	8262
701	8837
701	6665
701	5540
701	5415
701	3243
701	11259
701	5490
701	5418
701	4913
701	5533
701	8672
701	6844
701	5462
701	6859
701	6139
701	8563
701	3674
701	7420
701	6201
701	11395
701	7736
701	4456
701	11151
701	3379
701	8137
701	11092
701	6485
701	7372
701	7775
